proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk,symbol
0x4ff44f5e2c039122daab3047f03d390aacda8915,12798287631284396320113863189638884412675657679087881742261605033438450400531,0x3d808865cbabef3b391dc2f5d6a312d96fcd82556ecc33b2297a4ed1ab38932a,13.1435,0.38,4.9945,0,-4.9945,-99.999,13.1435,0.0,-100,0,True,False,"XRP Up or Down - March 19, 2:55AM-3:00AM ET",xrp-updown-5m-1773903300,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,282161,xrp-updown-5m-1773903300,Down,1,Up,73109854456197465957315381222717165708698302698444123631073243581089622139744,2026-03-19,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,73460137382152481138246099073066792688726055017504672551669371878500626337225,0x1b535e1c76787a0aeff75483619511388b2a29b57e80e72962ca426572e05758,12.9943,0.32,4.1581,0,-4.1581,-99.9978,13.15,0.0,-100,0,True,False,"Solana Up or Down - March 19, 3:10PM-3:15PM ET",sol-updown-5m-1773947400,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,283869,sol-updown-5m-1773947400,Down,1,Up,27625392431903365456516953860399538633455108915794537156376330764861897733212,2026-03-19,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,71155516796664795342840121277733357048065311108757663189819895710586923138454,0xc4f5a58988a92f001e702f6355045ed4e7337a16965d0ab674b9f9f48f18b0ee,12.98,0.38,4.9324,0,-4.9324,-100.0,12.98,0.0,-100,0,True,False,"XRP Up or Down - March 19, 8:30AM-8:35AM ET",xrp-updown-5m-1773923400,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,282924,xrp-updown-5m-1773923400,Up,0,Down,89444688389038063464998444788191422689530224990453644892148885684578681106727,2026-03-19,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,105284940540210353952087262960172510650785346503437514319702249017679670934259,0xb8c11229edaac53d5a948dc7fc708e254b91eb5d34cb4284b58b9228c12d1973,12.9005,0.3699,4.7731,0,-4.7731,-99.9981,13.5135,0.0,-100,0,True,False,"XRP Up or Down - April 8, 12:20PM-12:25PM ET",xrp-updown-5m-1775665200,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,354423,xrp-updown-5m-1775665200,Down,1,Up,53875833645935761448944115060076717772045405188699339689787249282296622917434,2026-04-08,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,105605145679316533176975630212914924839680608324664493065017893901678017017909,0x9f71164f0225b614f48c6c769df85e839b6fa41cf53acb294421a86f2b2c0692,12.9005,0.3699,4.7731,0,-4.7731,-99.9981,13.5135,0.0,-100,0,True,False,"Dogecoin Up or Down - April 9, 10:20AM-10:25AM ET",doge-updown-5m-1775744400,https://polymarket-upload.s3.us-east-2.amazonaws.com/dogecoin-9ae840dfa3.png,357561,doge-updown-5m-1775744400,Down,1,Up,51246155671285129921204905167915508740474840675231735944605425514107770155014,2026-04-09,False,DOGE
0x4ff44f5e2c039122daab3047f03d390aacda8915,14563638984417820169255927771444258939193568889505332138559783915250333653916,0xca6c3112f0201c55367beb78a892d00f6c3c6226c60c14793475ee852fb52090,12.9005,0.3699,4.7731,0,-4.7731,-99.9981,13.5135,0.0,-100,0,True,False,"Solana Up or Down - April 5, 6:55PM-7:00PM ET",sol-updown-5m-1775429700,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,344665,sol-updown-5m-1775429700,Down,1,Up,1238734713787597459954765545429455216571326261020106501467229547069521744419,2026-04-05,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,100292705206533667212851968176191791715574678953982206346664711678827143889276,0x35e113a096feaa0acf98b65e506f379aa9d3d6c152408b16987ef58ce4fbc572,12.8391,0.3718,4.7738,0,-4.7738,-99.9991,13.4473,0.0,-100,0,True,False,"Dogecoin Up or Down - April 17, 2:00PM-2:05PM ET",doge-updown-5m-1776448800,https://polymarket-upload.s3.us-east-2.amazonaws.com/dogecoin-9ae840dfa3.png,386051,doge-updown-5m-1776448800,Up,0,Down,88770004101488931893717099449446104303255513014267130569766790872864427408229,2026-04-17,False,DOGE
0x4ff44f5e2c039122daab3047f03d390aacda8915,84704539191107448455051902185609240313844541185070319238746110635713753116915,0x8062213f01a9d6aa60b943b7cb2e14df1118f6356494845cd49abb1f3c8e0bdd,12.6881,0.3763,4.7754,0,-4.7754,-99.998,13.2846,0.0,-100,0,True,False,"Solana Up or Down - April 5, 5:00PM-5:05PM ET",sol-updown-5m-1775422800,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,344344,sol-updown-5m-1775422800,Up,0,Down,4752950476728181260525961961771875867148474382664363878327773014754987534594,2026-04-05,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,39172897382537942983079156600230960785834290668349464130421113948889599244579,0x0d0a9c8bef7d415f58aa087a895f917ad75f6429cd257a70ceb911a1561f6aec,12.2247,0.5798,7.0882,0,-7.0882,-99.9994,17.2465,0.7207,-100,0,True,False,"Solana Up or Down - April 1, 9:35PM-9:40PM ET",sol-updown-5m-1775093700,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,330755,sol-updown-5m-1775093700,Up,0,Down,9969519533618854715158649766519212369555004149214631257129034080370009658553,2026-04-02,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,41369776442178985035562203874628322594387114279660236169523958805437751487728,0x94febe0a1c2109c41b8a3687f8182d2fbe513ddd37ef00bc9b2490533df79ada,12.0,0.3999,4.8,0,-4.8,-100.0,12.0,0.0,-100,0,True,False,"Bitcoin Up or Down - March 21, 6:05AM-6:10AM ET",btc-updown-5m-1774087500,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,289243,btc-updown-5m-1774087500,Up,0,Down,70489264448924906396464055413330773743844604092842164917670329898083677411382,2026-03-21,False,BTC
